company,currency,01/01/10,04/01/10,11/01/10,18/01/10,25/01/10,01/02/10,08/02/10,15/02/10,22/02/10,01/03/10,08/03/10,15/03/10,22/03/10,29/03/10,06/04/10,12/04/10,19/04/10,26/04/10,03/05/10,10/05/10,18/05/10,25/05/10,31/05/10,07/06/10,14/06/10,21/06/10,28/06/10,05/07/10,12/07/10,19/07/10,26/07/10,02/08/10,09/08/10,16/08/10,23/08/10,30/08/10,06/09/10,13/09/10,20/09/10,27/09/10,04/10/10,11/10/10,18/10/10,25/10/10,01/11/10,08/11/10,15/11/10,22/11/10,29/11/10,06/12/10,13/12/10,20/12/10,27/12/10,03/01/11,10/01/11,17/01/11,24/01/11,31/01/11,07/02/11,14/02/11,21/02/11,28/02/11,07/03/11,14/03/11,21/03/11,28/03/11,04/04/11,11/04/11,18/04/11,26/04/11,02/05/11,09/05/11,16/05/11,23/05/11,30/05/11,06/06/11,14/06/11,20/06/11,27/06/11,04/07/11,11/07/11,18/07/11,25/07/11,01/08/11,08/08/11,15/08/11,22/08/11,29/08/11,05/09/11,12/09/11,19/09/11,26/09/11,03/10/11,10/10/11,17/10/11,24/10/11,31/10/11,07/11/11,14/11/11,21/11/11,28/11/11,05/12/11,12/12/11,19/12/11,26/12/11,02/01/12,09/01/12,16/01/12,23/01/12,30/01/12,06/02/12,13/02/12,20/02/12,27/02/12,05/03/12,12/03/12,19/03/12,26/03/12,02/04/12,09/04/12,16/04/12,23/04/12,30/04/12,07/05/12,14/05/12,21/05/12,28/05/12,04/06/12,11/06/12,18/06/12,25/06/12,02/07/12,09/07/12,16/07/12,23/07/12,30/07/12,06/08/12,13/08/12,20/08/12,27/08/12,03/09/12,10/09/12,17/09/12,24/09/12,01/10/12,08/10/12,15/10/12,22/10/12,29/10/12,05/11/12,12/11/12,19/11/12,26/11/12,03/12/12,10/12/12,17/12/12,24/12/12,31/12/12,07/01/13,14/01/13,21/01/13,28/01/13,04/02/13,11/02/13,18/02/13,25/02/13,04/03/13,11/03/13,18/03/13,25/03/13,01/04/13,08/04/13,15/04/13,22/04/13,29/04/13,06/05/13,13/05/13,20/05/13,27/05/13,03/06/13,10/06/13,17/06/13,24/06/13,01/07/13,08/07/13,15/07/13,22/07/13,29/07/13,05/08/13,12/08/13,19/08/13,26/08/13,02/09/13,09/09/13,16/09/13,23/09/13,30/09/13,07/10/13,14/10/13,21/10/13,28/10/13,04/11/13,11/11/13,18/11/13,25/11/13,02/12/13,09/12/13,16/12/13,23/12/13,30/12/13,06/01/14,13/01/14,20/01/14,27/01/14,03/02/14,10/02/14,17/02/14,24/02/14,03/03/14,10/03/14,17/03/14,24/03/14,31/03/14,07/04/14,14/04/14,21/04/14,28/04/14,05/05/14,12/05/14,19/05/14,26/05/14,02/06/14,09/06/14,16/06/14,23/06/14,30/06/14,07/07/14,14/07/14,21/07/14,28/07/14,04/08/14,11/08/14,18/08/14,25/08/14,01/09/14,08/09/14,15/09/14,22/09/14,29/09/14,06/10/14,13/10/14,20/10/14,27/10/14,03/11/14,10/11/14,17/11/14,24/11/14,01/12/14,08/12/14,15/12/14,22/12/14,29/12/14,05/01/15,12/01/15,19/01/15,26/01/15,02/02/15,09/02/15,16/02/15,23/02/15,02/03/15,09/03/15,16/03/15,23/03/15,30/03/15,06/04/15,13/04/15,20/04/15,27/04/15,04/05/15,11/05/15,18/05/15,25/05/15,01/06/15,08/06/15,15/06/15,22/06/15,29/06/15,06/07/15,13/07/15,20/07/15,27/07/15,03/08/15,10/08/15,17/08/15,24/08/15,31/08/15,07/09/15,14/09/15,21/09/15,28/09/15,05/10/15,12/10/15,19/10/15,26/10/15,02/11/15,09/11/15,16/11/15,23/11/15,30/11/15,07/12/15,14/12/15,21/12/15,28/12/15,04/01/16,11/01/16,18/01/16,25/01/16,01/02/16,08/02/16,15/02/16,22/02/16,29/02/16,07/03/16,14/03/16,21/03/16,28/03/16,04/04/16,11/04/16,18/04/16,25/04/16,02/05/16,09/05/16,16/05/16,23/05/16,30/05/16,06/06/16,13/06/16,20/06/16,27/06/16,04/07/16,11/07/16,18/07/16,25/07/16,01/08/16,08/08/16,15/08/16,22/08/16,29/08/16,05/09/16,12/09/16,19/09/16,26/09/16,03/10/16,10/10/16,17/10/16,24/10/16,31/10/16,07/11/16,14/11/16,21/11/16,28/11/16,05/12/16,12/12/16,19/12/16,26/12/16,02/01/17,09/01/17,16/01/17,23/01/17,30/01/17,06/02/17,13/02/17,20/02/17,27/02/17,06/03/17,13/03/17,20/03/17,27/03/17,03/04/17,10/04/17,
EMGS  Electromagnetic Geoservices NOK,NOK,3.4924,4.1745,4.5429,4.0926,4.0926,3.7448,3.5947,3.6152,3.5811,3.5606,3.7652,3.5879,3.3082,3.5129,3.888,3.8539,4.0244,3.9357,2.899,3.0968,2.3874,2.592,2.4897,2.3533,2.4215,4.386,3.6902,3.9972,3.6152,3.888,4.5496,4.3587,4.0244,3.8948,3.4992,3.9153,4.0926,4.0995,4.1472,4.2222,4.4337,4.7748,5.3818,6.2618,6.5346,6.3572,5.8866,5.8661,6.3299,6.1526,6.3299,7.9807,8.1853,8.424,8.731,8.5946,8.5946,8.7651,8.8674,7.6737,7.7078,7.6055,6.8552,7.1621,7.0939,7.6055,9.5154,9.0038,9.1403,8.7992,8.1171,8.1853,8.6628,8.3558,9.2085,8.2876,7.8101,7.435,8.1512,7.6737,7.4009,7.9465,7.8101,5.3887,5.0613,5.3818,7.9124,9.4472,8.5946,8.4923,7.2645,7.7419,8.0489,8.5946,8.8333,9.72,9.2425,9.2425,9.0379,7.8442,8.4923,8.2535,8.731,8.8674,9.072,9.7541,10.9137,10.9137,10.8455,12.1415,13.0965,13.574,13.1647,14.5289,13.7104,12.5508,11.6641,11.4594,11.7323,11.6641,12.1415,12.2097,11.5958,11.1184,10.1293,10.2316,8.6287,9.3449,8.9697,8.6628,8.9356,8.9356,9.072,9.2425,9.6177,10.2998,10.2316,11.7323,10.8455,10.5727,11.5276,11.4594,10.0952,9.5836,10.2316,9.9588,8.7992,8.3217,8.6969,7.2645,6.4323,6.9575,8.1171,7.435,8.2194,8.9015,8.9083,9.2085,7.2304,7.8442,7.6601,7.6737,7.1826,6.9507,6.2856,6.3027,6.3777,6.3607,6.0878,5.8525,5.6069,6.0708,5.7092,5.7979,5.8661,5.9821,6.6267,7.2304,7.2917,7.2508,6.7631,6.3436,6.9916,6.6233,6.8279,6.5482,6.4459,6.4118,6.4255,6.48,5.4569,4.8225,5.0476,5.4432,5.3955,5.2659,4.9112,4.86,4.4542,4.6452,4.8157,4.843,5.2522,5.4227,5.4569,5.3579,5.0988,5.3136,5.4773,5.3818,4.8293,4.6315,4.7884,4.7407,5.0476,4.8362,4.9726,5.068,5.3614,5.1022,5.0817,4.9453,5.1158,4.8089,4.6793,4.9112,4.8975,4.8771,4.7952,4.8566,4.7543,4.8293,4.7407,4.195,4.4951,4.3382,3.9903,3.9085,3.7175,3.7516,3.697,3.6629,3.6152,3.0149,2.7625,3.0559,2.5306,2.6943,2.4215,2.3533,2.401,2.5238,2.4556,2.4351,2.4215,2.3465,2.4419,2.7762,2.517,2.9263,2.8785,2.7762,2.8853,2.7284,2.8649,2.7557,2.899,2.858,2.8649,2.8171,2.6671,2.4351,2.2646,2.251,2.2646,2.1486,2.06,2.0463,2.0463,1.3642,1.3506,1.3301,1.2278,1.3369,1.296,1.1937,1.296,1.1596,1.1937,1.1255,1.1255,1.0027,0.955,0.8731,0.6548,0.5798,0.6003,0.6275,0.5593,0.4707,0.4297,0.4707,0.457,0.4502,0.4365,0.3888,0.3615,0.3138,0.34,0.25,0.26,0.28,0.27,0.34,0.28,0.27,0.3,0.36,0.32,0.27,0.26,0.25,0.25,0.25,0.26,0.26,0.24,0.25,0.27,0.25,0.23,0.24,0.18,0.19,0.17,0.19,0.18,0.18,0.18,6.42,6.35,6.15,6.25,6.2,5.9,6.55,5.01,4.2,4.04,4.45,4.08,4.01,3.95,3.9,4.3,4.47,4.86,4.7,4.38,4.05,4.39,4.35,4.7,6.87,6.7,8.6,10.05,8.09,8.45,7.76,5.99,6.09,5.76,5.96,5.67,5.5,5.53,5.26,5.24,5,4.95,
MCG MultiClient Geophysical NOK,NOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.38,0.38,0.41,0.41,0.4,0.4,0.38,0.36,0.38,0.38,0.37,0.36,0.39,0.36,0.35,0.33,0.32,0.38,0.38,0.33,0.33,0.33,0.33,0.35,0.3,0.3,0.28,0.29,0.25,0.25,0.28,0.23,0.22,0.22,0.23,0.25,0.25,0.26,0.22,0.24,0.24,0.2,0.21,0.19,0.2,0.23,0.23,0.21,0.22,0.2,0.2,0.22,0.23,0.21,0.2,0.2,0.2,0.17,0.18,0.2,0.2,0.2,0.18,0.2,0.19,0.19,0.17,0.16,0.17,0.12,0.14,0.14,0.17,0.15,0.15,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.16,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.09,0.09,0.11,0.11,0.1,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.06,0.08,0.07,0.08,0.07,0.07,0.07,0.78,0.77,0.8,0.8,0.68,0.68,0.75,0.7,0.82,0.83,0.76,0.76,0.76,0.74,0.73,0.72,0.72,0.72,0.69,0.69,0.55,0.56,0.67,0.65,0.6,0.66,0.61,0.7,0.74,0.8,0.9,0.81,1,1.2,1.17,1.17,1.2,1.18,1.34,1.49,1.42,1.39,1.38,1.38,1.4,1.42,1.43,1.37,1.37,1.37,
MSEIS Magseis NOK,NOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.637,27.5555,28.0147,28.6577,27.831,27.0962,27.0962,27.0962,28.9333,28.9333,26.637,27.3718,27.2799,26.637,27.0962,25.7184,24.7999,26.5451,25.8103,23.4221,23.7896,23.7896,23.7896,21.677,22.4118,22.7792,22.7792,22.0444,22.871,22.871,22.9629,23.7896,23.7896,23.7896,23.7896,23.7896,23.7896,23.7896,23.7896,23.7896,23.7896,22.2281,22.2281,22.2281,22.0444,22.0444,22.0444,22.0444,22.0444,22.0444,22.0444,22.0444,19.2888,16.5333,16.5333,17.8192,18.1866,15.1555,16.074,16.074,16.074,16.074,15.9822,16.074,13.8696,13.8696,13.8696,15.6148,15.6148,15.6148,17.6355,17.2681,17.1762,16.5333,16.5333,13.7777,13.7777,14.237,14.6962,14.6044,14.6044,14.6044,14.4207,14.4207,14.3288,14.3288,14.3288,12.7214,13.594,13.594,13.3185,14.237,14.6962,17.9111,17.7274,19.3,15.3,15.5,14.9,15.1,15.1,15,13.5,14.5,14.1,14,13.8,14,14,13.9,13.9,13.7,13.7,13.65,13.5,13.35,13.5,13.5,13.3,13.2,12.8,13.9,13.9,13.45,13.2,12.1,12.2,11.5,11.6,11.3,11,11.5,13.5,12.25,12.8,12.95,12.1,12.7,13.45,13.95,14,14.9,15.9,15.8,15,15.5,15.3,14.25,14.5,14.5,
PGS Petroleum Geo-Services,NOK,66.5,77.95,81.35,73.9,74.8,72.45,73.2,76.65,74.85,80.6,80.45,76.7,76.05,77.85,88.9,86.8,91.7,82.3,72.35,75.25,67.4,65.9,63.85,64.65,66,62.6,55.25,57,54.95,57.1,54.5,61.8,58.1,56.8,56.6,63.7,63.6,66.5,65.2162,69.05,68.9,73.75,74.05,73.2,80.8,83.75,74.85,77.7,83.75,82.1,85,91.05,90.85,89.35,89.2,85.15,87.05,92.9,93.8,88.4,92.5,92.2,87.35,89.05,89.85,89.8,89.9,82.35,84.65,82.85,78.65,77.65,82.8,85.5,84.15,79.1,76.4,72.2,78.2,79.3,81.2,88.85,87.75,66.7,66.2,62.05,62.75,64.15,62.1,63.55,55.8,59.9,57.1,67.65,68.15,61.25,59.45,61.75,60.05,55.05,61,59.9,58.2,64.6,65.45,67.9362,70.95,74,76.8,77.3,79.9,80.25,85.2,85.35,84.8,86.15,83.25,83.25,80.8,77.2,81.6,85.05,79.3,77.75,70.25,73.45,67.65,70.95,71.55,68.2,72.2,72.65,75.6,85,90.25,91.95,87.5,90.25,87,88.1,92.8,99.3,95.25,94.7,97,97.7,98.25,97.6,102.8,96.5,93.25,99.4,94.95,95,97,96.95,95.35,98.5,98,96.85,97.4,97.45,95.55,94.95,92.4,88.75,93.05,92.2,88.5,89.75,90,94.45,84.95,89,86.5,87.1,89,88.15,87.8,84.5,80.5,77.3,74,77.7,79.8,78.95,80.75,79.3,80.7,81.25,81,78.5,75.5,82,81.05,76.7,74.65,71,71.5,74.5,72.8,73.4,74.35,72.75,73.4,66.75,67.4,65.9,69.3,69.1,72.9,73,68.5,64.85,66,63.4,64.75,65.5,67.75,62.8,68,70.8,73,70.45,69,71.5,74.4,67.15,64.7,66,64.5,65.3,68.3,68,64.35,65.65,61,57.2,55.1,52,49.31,50,48.2,46.64,46.24,43.21,39.87,38.18,37.82,35.81,38.15,34.3,33.45,38.99,42.06,41.4,34.38,37,40.18,41.7,43.6,42.17,40.5,38.94,43.6,42.02,47.06,46.63,46.57,43.24,43.21,39.22,39.1,40.68,39.9,45.13,44.11,45.5,49.88,50.8,52,49.88,47.7,46.82,43.87,42.61,41.81,39.75,39.13,39.97,38.09,37.28,37.89,36.99,33.6,36.11,33.58,30.59,32.72,33.59,31.01,38.9,35.76,36.08,35.38,41.5,38.23,39.52,40.94,39.39,36.5,34.54,36,36.35,25.76,24.73,25.6,26.3,27.42,21.34,20.7,20.32,26.7,26,26.5,24.9,22.59,22.6,25.96,27.3,28.49,21.6,20.89,21.35,24.93,22.31,24.56,21.82,21.12,19.06,18.69,17.18,19.75,16.78,17.08,18.55,18.89,18.99,18.25,18.52,16.19,17.52,17.55,20.3,25.44,25.29,23.55,21.2,21.21,22.1,23.92,25.92,29.55,28.35,28.17,29.2,29.2,29.77,29.9,29.6,27.85,27.72,24.32,23.1,24.62,22.51,22.61,22.13,22.65,23.53,23.61,
PLCS Polarcus,NOK,,,,,,,,,,,,,,,6.1851,6.5243,6.9333,6.9832,6.1851,6.3846,5.7262,5.7362,5.2474,4.7386,4.7885,4.7885,4.4393,4.8882,4.3894,4.3894,4.6388,4.4892,4.4892,4.2697,4.2897,4.3395,4.2498,4.7386,4.4892,4.8683,4.6887,5.49,5.85,5.9,6.2,6.1,5.16,5.1,5.4,5.4,5.3,5.9,6.08,6.18,7.5,7.35,7.55,7.7,7.7,7.21,7.43,7.47,7.13,7.37,8.29,8.22,8.35,7.45,7.55,6.8,6.22,6.35,6.36,6.4,6.35,5.43,5.09,4.99,5.4,5.41,5.29,5.83,5.59,4.18,3.83,3.97,3.59,3.52,3.45,3.49,2.86,3,3.05,4.04,4.35,3.96,3.4,3.18,3.09,2.61,2.79,2.75,2.63,2.97,2.8,3.21,3.35,4.1,3.89,4.7,4.43,4.37,5.26,5.75,6,6.15,5.9,5.65,5.38,5.18,5.28,5.81,5.81,5.67,4.85,4.55,4.02,4.31,4.08,4.08,4.1,4.16,4.43,4.91,5.15,5.65,5.64,5.72,5.29,5.35,5.7,6.37,6.15,6.24,6.75,6.02,6.27,6.1,6.21,5.98,5.79,6,5.73,6.01,6.3,6.65,6.64,7.02,7.09,6.98,6.98,6.93,6.85,7.03,6.63,6.64,6.84,6.73,6.25,6.39,6.15,6.05,5.26,5.6,5.25,5.45,5.96,5.84,5.95,5.5,5.03,4.78,4.95,4.928,4.66,4.99,5,4.97,5.275,4.8,4.47,4.31,4.188,4.438,4.4,4.038,4.16,3.66,3.822,3.828,3.878,4.29,4.26,4.06,4.45,4.41,4.4,4.45,4.48,4.43,4.59,4.51,4.15,3.92,3.9,4,4.22,4.15,4.4,4.28,4.35,4.54,4.65,4.2,4.08,4.31,4.39,4.1,3.89,3.87,3.72,3.88,3.75,3.62,3.49,3.5,3.44,3.3,3.22,3.25,2.65,2.78,2.55,2.35,2.4,2.17,1.89,1.72,1.37,1.15,1,1.03,0.9,0.93,0.96,0.96,0.79,0.64,0.7,0.61,0.65,0.66,0.6,0.59,0.64,0.6,0.59,0.62,0.6,0.58,0.5,0.44,0.29,0.37,0.43,0.4,0.39,0.38,0.38,0.34,0.32,0.32,0.29,0.32,0.32,0.29,0.29,0.29,0.27,0.31,0.3,0.29,0.26,0.22,0.18,0.19,0.25,0.24,0.23,0.23,0.22,0.27,0.25,0.24,0.27,0.41,0.38,0.32,2.7,1.84,1.63,1.69,1.71,1.61,1.35,1.49,1.5,1.1,0.92,0.8,0.88,1.11,1.37,1.17,1.36,1.4,1.18,1.17,1.27,1.13,1.1,1.06,0.6,0.54,0.5,0.62,0.59,0.54,0.62,0.7,0.69,0.64,0.64,0.58,0.57,0.58,0.5,0.48,0.43,0.41,0.38,0.41,0.37,0.39,0.47,0.4,0.36,0.34,0.33,0.29,0.29,0.29,0.29,0.47,0.43,0.46,0.48,0.48,0.47,0.44,0.37,0.38,0.38,0.38,0.39,0.34,0.34,0.3,0.29,0.27,0.26,
SBX Seabird Exploration,NOK,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,20.00,20.10,15.00,14.55,15.30,13.80,12.90,13.30,14.90,14.50,13.50,13.40,10.85,10.30,12.20,12.50,13.45,12.35,11.60,11.15,11.40,12.00,12.35,11.30,10.75,10.40,11.25,10.50,9.80,10.45,10.25,10.60,10.40,10.55,11.40,11.60,15.60,10.50,8.80,8.45,9.97,9.00,8.99,8.51,7.99,8.05,8.12,7.70,7.41,7.50,6.50,6.85,6.85,6.68,8.70,13.75,17.50,22.50,21.80,20.30,19.90,17.40,16.80,15.10,9.40,8.50,8.87,10.70,10.10,9.42,9.95,10.00,
SPU Spectrum,NOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29399,6.91166,9.22213,8.49147,8.76794,8.39273,11.8486,10.8118,9.8738,10.6637,9.62696,13.1815,11.3549,12.3422,12.8359,12.8359,11.8486,11.6511,11.3549,10.8612,11.8486,13.8233,13.3296,13.2309,12.8359,11.8486,11.6511,11.8486,13.2309,11.2561,11.7498,13.1322,12.441,12.3422,11.3549,12.3422,12.8359,13.3296,9.8738,9.8738,12.3422,11.8486,12.2435,13.774,13.2309,14.8107,15.4031,15.9956,16.2918,18.859,16.7855,17.7729,17.6741,17.5754,16.8842,17.7729,24.0921,23.2034,22.611,23.2034,23.8946,24.6845,28.634,29.6214,29.6214,28.1403,28.0416,25.6719,27.0542,27.3504,26.758,26.6593,29.6214,28.1403,27.6467,26.6593,27.0542,25.6719,26.6593,26.5605,26.1656,25.6719,26.4618,26.1656,26.5605,25.6719,26.6593,26.6593,26.6593,26.8567,27.0542,26.6593,30.6088,30.4113,32.2873,32.0899,32.2873,32.5835,30.6088,31.4974,29.4239,28.3378,29.6214,29.6214,30.6088,32.0899,33.0772,32.9785,40.4826,42.951,39.9889,42.951,43.4447,44.7283,45.5182,53.3185,59.2428,59.7365,57.2681,56.2807,62.9455,61.2176,57.5149,58.2554,54.3059,55.0465,56.2807,55.787,54.3059,53.3185,54.0591,51.0969,47.3942,47.7892,47.8879,45.8144,46.8018,45.5182,45.4195,46.1107,43.5435,41.47,39.7914,39.0015,39.0015,39.4952,36.1381,35.2495,34.5583,34.5583,32.0899,32.5835,34.8545,35.9406,35.5457,36.0394,34.9533,35.7432,36.0394,36.6318,36.5331,39.1003,37.8167,36.5331,36.5331,37.7179,37.0268,34.4596,35.9406,40.9763,37.5205,36.5331,36.5331,39.9889,45.222,45.3208,45.9132,46.9006,47.6905,48.0854,47.2955,44.4321,43.9384,44.4321,43.5435,41.9637,41.3712,38.9028,37.0268,36.8293,37.8167,36.7305,37.8167,36.3356,34.5583,31.8924,32.3861,31.1025,32.0899,34.0646,30.6088,31.3987,32.781,31.5962,30.6088,30.1151,31.6949,31.3,28.2391,25.9681,29.1277,28.634,28.4366,28.634,28.634,28.634,29.5227,31.5962,30.905,30.6088,32.5835,33.0772,35.5457,35.4469,34.3608,35.2495,32.5835,32.5835,31.5962,34.9533,33.2747,35.5457,33.9659,35.5457,33,32.4,32,31.8,31.8,31.8,31.7,31.4,31.4,31.5,31.9,30,28.9,29.3,29,28,28.9,29.9,29.5,29.5,28.9,29.5,28,28.3,27.8,28,27.5,26.6,26.4,25,27.5,25,24,24.4,26.8,25,23.8,24.5,24.2,26.3,26.8,27,27,26.7,24,24.9,25,26.5,26.5,27.5,27.4,28.5,27.1,28.8,26.7,27.7,28,26.6,26.6,27.7,27,26.8,26,25.4,25.9,26.6,24.7,23.7,24.5,25.5,25.4,25,26.1,26,26,25,23,24.2,26,25,26.1,28,28,31.9,39.7,36.5,38,39.9,39.9,40.8,36.5,39,39.1,37.3,37.2,40,38.2,37,
TGS-NOPEC Geophysical Company,NOK,104.8,109.9,114.4,105.8,114.2,111,116,119.8,113.1,127.4,130.2,129.7,126.5,126.1,130.9,126.6,127.3,113.9,107.2,109.2,100.5,88.7,82.75,80,84.05,82.65,75.9,78,75.1,77.95,80.45,91.35,85.65,85.3,85.05,92.5,90,88.45,82.35,84.4,88.9,100.6,100.1,101.5,112.2,113.9,99.6,105.7,117.2,118.1,124.8,129,131.5,127.8,136.8,132.9,138.2,144.6,148.2,138.9,143.7,147.7,139.6,139.3,143.8,151.5,145.5,133,139.6,138.1,142.9,139.9,142.8,149,150.2,140.1,144,140.6,154.8,152.3,157.2,164.1,157.9,121.7,127.2,119.1,125.4,125.1,121.9,123.1,110.7,110.3,109.4,126.8,127,131.5,124.9,135.2,127.8,118.1,131.2,129.4,126.4,136.4,132.5,138.5,140.9,145,149.7,153.4,154.9,160.8,163.7,160.3,158.8,157.6,154,156.1,156.8,155.6,165,166.7,170.5,163,150.9,158.4,147.6,147.8,150.1,147.9,159.6,158.6,164.1,170,177.6,174.4,173.3,175.3,166.1,169.3,177.1,190,186.5,186.9,191.6,197.5,196.4,188.7,184.4,179.1,175.5,184.5,179.5,177.6,177.4,184.7,181.5,182.7,198.4,199.9,204.4,207.4,207.6,212.5,214.5,215.9,219.3,223.3,215.3,220.1,215,220.5,209,207.4,210,213.3,215.9,208,206.5,195.7,193.1,189.6,176.5,191,189.6,192.1,188,186.4,188,182.9,186.4,180.4,183,191.4,194,185.8,175.1,146.5,149.7,157.9,165,163.1,158,153.2,161.7,149.2,146.1,142.6,155.3,150.9,178.4,170.4,169.3,162.1,175,176.1,179.2,189.5,188.9,173.4,185.1,190.5,198.6,190.2,195,199.9,208.4,197,199.9,199.1,194.8,191,199.8,204.5,193.7,196,183.7,181.6,180.4,178.8,178.9,180.5,175.5,174,172.8,166.6,164.8,156.6,152.4,156.8,170,157.9,157.5,171.7,180.9,188.1,156,160.4,151,163,164.1,161.2,162.2,172.3,176.5,179.5,182.6,186.4,185.4,186.9,191.5,181,185.2,178.6,181.8,197,180,185.5,191.4,183.2,192.8,193.6,196,198.3,200.1,192.8,185,178,172.1,173.5,170.7,172.3,174.3,161.1,159.1,159.5,156.5,149.6,156.2,157.7,146.4,168.2,163.3,166.5,167.5,169.2,162.2,167,167.7,164.5,152.6,136.2,142.3,141.4,113,112.5,117.8,125.2,125.8,114.2,115.2,126.8,139.7,137.8,137.4,131.1,122.8,125.1,129.3,131.5,134.7,133.4,127,124.4,125.8,122.5,130.5,124.1,129,135.7,141.2,142.4,142.6,140.1,139.5,145.1,146.9,147.7,150,149.8,139,143.1,144,162.9,175.3,175,169.1,159,160.5,161.6,166,174,190.4,183.6,186.7,191.7,195.3,195,203.4,206,191.6,192.1,187.2,182,185.9,189.2,192.7,188,182,187,187.9,
